Where is retail store located in Brisbane?,Retail in the CBD is centred around the Queen Street Mall
What is that film festival about? ,BIFF features new films and retrospectives by domestic and international filmmakers along with seminars and awards.
Which are the cricket teams from Brisbane?,Brisbane Heat and the Queensland Bulls
Which are the largest golf courses in Brisbane?,"Indooroopilly Golf Club at Indooroopilly, Queensland, the Brookwater Golf and Country Club at Brookwater, the Keperra Country Golf Club at Keperra and the Royal Queensland Golf Club at Eagle Farm."
Which are the Australian Aboriginal languages from this Queensland area?,"Jagara (also known as Turrbal, Jagera, Yagara, and Yuggera) and Yugarabul are Australian Aboriginal languages of South-East Queensland"
What was going on during the 18th century around Brisbane?,"Matthew Flinders initially explored the Moreton Bay area on behalf of[citation needed] European colonisers. On 1799, Flinders landed at present-day Woody Point, which he named ""Red Cliff Point"" after the red-coloured cliffs visible from the bay."
What happened in the 19th century around the area?,"In 1823 the Governor of New South Wales, Sir Thomas Brisbane, gave instructions for the development of a new northern penal settlement be developed, and an exploration party led by John Oxley further explored Moreton Bay[33] in November 1823."
What did it happen in Brisbane in 1974?,"The 1974 Brisbane flood was a major disaster which temporarily crippled the city. During this era, Brisbane grew and modernised, rapidly becoming a destination of interstate migration"
What did the PremierJoh Bjelke-Petersen do while ruling the state?,"Between 1968 and 1987, when Queensland was governed by Premier Joh Bjelke-Petersen, whose government was characterised by strong social conservatism and the use of police force against demonstrators, and which ended with the Fitzgerald Inquiry into police corruption, Brisbane developed a counterculture focussed on the University of Queensland, street marches and Brisbane punk rock music."
When was the last big flood?,"After three decades of record population growth, Brisbane was hit again by a major flood in January 2011. The Brisbane River did not reach the same height as the previous 1974 flood, but still caused extensive damage and disruption to the city."
Which infrastructure has been developed in the 21st century in Brisbane?,"Howard Smith Wharves, Roma Street Parklands, Queens Wharf, the Brisbane Riverwalk, the Queen's Wharf casino and resort precinct, the Brisbane International Cruise Terminal, the Clem Jones, Airport Link, and Legacy Way road tunnels, and the Airport, Springfield, Redcliffe Peninsula and Cross River Rail railway lines have been completed or are under construction."
How is the weather in Brisbane?,"Brisbane has a humid subtropical climate with hot, wet summers and moderately dry, moderately warm winters."
"In average, which are the minimum and maximum temperatures?","Brisbane experiences an annual mean minimum of 16.6 °C (62 °F) and mean maximum of 26.6 °C (80 °F), making it Australia's second-hottest capital city after Darwin."
Which is the size of Brisbane city?,"The Brisbane central business district (CBD, colloquially referred to as 'the city') lies in a curve of the Brisbane river. The CBD covers 2.2 km2 (0.8 sq mi) and is walkable."
Which are the main streets in Brisbane?,"Queen Street (named in honour of Queen Victoria) is Brisbane's traditional main street and contains its largest pedestrian mall, the Queen Street Mall. Streets named after female members (Adelaide, Alice, Ann, Charlotte, Elizabeth, Margaret, and Mary) run parallel to Queen Street and perpendicular to streets named after male members (Albert, Edward, George, and William)."
Which are the squares in Brisbane city?,"King George Square, Post Office Square and ANZAC Square"
How many bridges cross the Brisbane River?,There are 15 bridges across the river
Are there National Parks close to Brisbane?,There are many national parks surrounding the Brisbane metropolitan area. The D'Aguilar National Park is a major national park along the northwest of the metropolitan area in the D'Aguilar Range. The Glass House Mountains National Park is located to the north of the metropolitan area in the Glass House Mountains and provides green space between the Brisbane metropolitan area and the Sunshine Coast. The Tamborine National Park at Tamborine Mountain is located in the Gold Coast hinterland to the south of the metropolitan area.
How does Queenslander architecture look like?,"Queenslander homes typically feature timber construction with large verandahs, gabled corrugated iron roofs, high ceilings. Most of these houses are elevated on stumps (also called ""stilts""), traditionally built of timber, which allow for a void under the houses which aid in cooling."
Which is the tallest building in Brisbane?,"Currently the tallest building in Brisbane is Brisbane Skytower, which has a height of 270 metres."
How many people lives in Brisbane?,"The population in Brisbane is 2,514,184 as of June 2019, making it the third largest city in Australia."
"In terms of immigration, which are the most common ancestries?","At the 2016 census, the most commonly nominated ancestries were: English (39.7%) Australian (34.6%)[N 3]Irish (13.2%)Scottish (11%)German (6.4%)Chinese (4.7%)Italian (2.8%)Indian (2.6%)Indigenous (2.4%)[N 4]Dutch (1.7%)New Zealander (1.7%)Maori (1.5%)Filipino (1.3%)Vietnamese (1.2%)Samoan (1.1%)"
How many radio stations Brisbane has?,"Brisbane is serviced by five major public radio stations including major commercial radio stations, including 612 ABC Brisbane (local news, current affairs and talk); ABC Radio National (national news and current affairs); ABC NewsRadio (national news); ABC Classic FM (classical music); Triple J (alternative music); and SBS Radio (multicultural broadcasting)."
How many public hospitals are in Brisbane? ,there are eight major public hospitals
